"port","place","latitude","longitude","has_location"
8741041,"Dock E, Port of Pascagoula, MS",30.3483, -88.5050, 0
8741533,"Pascagoula NOAA Lab, MS",30.3583, -88.5667, 0
8747437,"Bay Waveland Yacht Club, MS",30.3250, -89.3250, 0
8760417,"Devon Energy Facility, LA",29.2000, -89.0433, 0
8760922,"Pilots Station East, SW Pass, LA",28.9317, -89.4067, 0
8761927,"New Canal Station, LA",30.0267, -90.1133, 0
8762372,"East Bank 1, Norco, B. LaBranche, LA",30.0500, -90.3683, 0
8762482,"West Bank 1, Bayou Gauche, LA",0.0000, 0.0000, 0
8764044,"Tesoro Marine Terminal, LA",29.6667, -91.2367, 0
8764227,"LAWMA, Amerada Pass, LA",29.4500, -91.3400, 0
8766072,"Freshwater Canal Locks, LA",29.5550, -92.3050, 0
8770743,"Battleship Texas State Park, TX",29.7567, -95.0900, 0
8771341,"Galveston Bay Entrance, North Jetty, TX",29.3583, -94.7250, 0
8771510,"Galveston Pleasure Pier, TX",29.2850, -94.7883, 0
8772447,"USCG Freeport, TX",28.9333, -95.3000, 0
8775296,"Texas State Aquarium, TX",27.8117, -97.3900, 0
8777812,"Rincon Del San Jose, TX",26.8250, -97.4917, 0
9410689,"Long Beach Air Gap, CA",33.7650, -118.2200, 0
9411406,"Oil Platform Harvest, CA",34.4683, -120.6733, 0
9413643,"Tidal Creek, Elkhorn Slough, CA",36.8333, -121.7450, 0
9413651,"Kirby Park, Elkhorn Slough, CA",36.8417, -121.7450, 0
9440910,"Toke Point, WA",46.7067, -123.9667, 0
9464212,"Village Cove, St. Paul Island, AK",57.1250, -170.2750, 0
9491094,"Red Dog Dock, AK",67.5767, -164.0650, 0
9500966,"Madero, Tampico Harbor, Mexico",22.2617, -97.7950, 0
9751364,"Christiansted Harbor, St Croix, VI",17.7500, -64.7050, 0
9751381,"Lameshur Bay, St. Johns, VI",18.3183, -64.7250, 0
9751401,"Lime Tree Bay, VI",17.6850, -64.7533, 0
9752695,"Vieques Island, PR",18.0933, -65.4717, 0
9759110,"Magueyes Island, PR",17.9700, -67.0467, 0
9759938,"Mona Island, PR",18.0900, -67.9383, 0

